"COL0","COL1","COL2"
"L6A","L6A",89287.00
"L6B","L6B",34763.00
"L6C","L6C",51738.00
"L6E","L6E",38387.00
"L6G","L6G",8364.00
"L6H","L6H",72662.00
"L6J","L6J",24420.00
"L6K","L6K",14118.00
"L6L","L6L",30012.00
"L6M","L6M",72547.00
"L6P","L6P",91155.00
"L6R","L6R",93783.00
"L6S","L6S",54361.00
"L6T","L6T",39614.00
"L6V","L6V",42392.00
"L6W","L6W",23547.00
"L6X","L6X",76113.00
"L6Y","L6Y",97601.00
"L6Z","L6Z",33888.00
"L7A","L7A",104009.00
"L7B","L7B",17809.00
"L7C","L7C",33846.00
"L7E","L7E",34516.00
"L7G","L7G",48051.00
"L7J","L7J",13766.00
"L7K","L7K",8486.00
"L7L","L7L",47433.00
"L7M","L7M",48498.00
"L7N","L7N",13160.00
"L7P","L7P",29777.00
"L7R","L7R",17338.00
"L7S","L7S",12207.00
"L7T","L7T",18555.00
"L8B","L8B",25778.00
"L8E","L8E",41927.00
"L8G","L8G",21805.00
"L8H","L8H",26187.00
"L8J","L8J",29146.00
"L8K","L8K",32598.00
"L8L","L8L",32312.00
"L8M","L8M",13774.00
"L8N","L8N",15568.00
"L8P","L8P",24773.00
"L8R","L8R",11651.00
"L8S","L8S",15787.00
"L8T","L8T",19405.00
"L8V","L8V",21165.00
"L8W","L8W",26077.00
"L9A","L9A",25899.00
"L9B","L9B",25025.00
"L9C","L9C",41202.00
"L9E","L9E",16933.00
"L9G","L9G",25020.00
"L9H","L9H",31221.00
"L9J","L9J",2272.00
"L9K","L9K",15928.00
"L9L","L9L",14620.00
"L9M","L9M",16607.00
"L9N","L9N",21656.00
"L9P","L9P",17383.00
"L9R","L9R",25949.00
"L9S","L9S",33434.00
"L9T","L9T",110956.00
"L9V","L9V",17750.00
"L9W","L9W",48790.00
"L9X","L9X",12896.00
"L9Y","L9Y",28925.00
"L9Z","L9Z",24849.00
"M1B","M1B",65555.00
"M1C","M1C",35642.00
"M1E","M1E",48033.00
"M1G","M1G",30894.00
"M1H","M1H",23964.00
"M1J","M1J",37002.00
"M1K","M1K",48175.00
"M1L","M1L",35833.00
"M1M","M1M",23258.00
"M1N","M1N",22976.00
"M1P","M1P",45170.00
"M1R","M1R",30467.00
"M1S","M1S",37663.00
"M1T","M1T",34607.00
"M1V","M1V",50825.00
"M1W","M1W",47070.00
"M1X","M1X",14810.00
"M2H","M2H",23396.00
"M2J","M2J",61761.00
"M2K","M2K",25377.00
"M2L","M2L",11274.00
"M2M","M2M",31915.00
"M2N","M2N",75100.00
"M2P","M2P",7546.00
"M2R","M2R",40581.00
"M3A","M3A",34361.00
"M3B","M3B",12880.00
"M3C","M3C",39616.00
"M3H","M3H",38416.00
"M3J","M3J",26600.00
"M3K","M3K",7865.00
"M3L","M3L",19263.00
"M3M","M3M",24906.00
"M3N","M3N",40846.00
"M4A","M4A",14589.00
"M4B","M4B",18612.00
"M4C","M4C",46440.00
"M4E","M4E",25473.00
"M4G","M4G",19598.00
"M4H","M4H",18698.00
"M4J","M4J",35128.00
"M4K","M4K",30913.00
"M4L","M4L",32218.00
"M4M","M4M",25052.00
"M4N","M4N",16058.00
"M4P","M4P",25057.00
"M4R","M4R",11909.00
"M4S","M4S",30754.00
"M4T","M4T",10332.00
"M4V","M4V",19273.00
"M4W","M4W",15296.00
"M4X","M4X",19896.00
"M4Y","M4Y",36319.00
"M5A","M5A",48978.00
"M5B","M5B",17422.00
"M5C","M5C",3149.00
"M5E","M5E",11779.00
"M5G","M5G",9751.00
"M5H","M5H",3248.00
"M5J","M5J",16879.00
"M5M","M5M",25495.00
"M5N","M5N",16154.00
"M5P","M5P",19791.00
"M5R","M5R",26197.00
"M5S","M5S",17074.00
"M5T","M5T",17903.00
"M5V","M5V",59912.00
"M6A","M6A",22380.00
"M6B","M6B",28534.00
"M6C","M6C",23997.00
"M6E","M6E",37684.00
"M6G","M6G",30600.00
"M6H","M6H",43730.00
"M6J","M6J",32111.00
"M6K","M6K",42110.00
"M6L","M6L",20156.00
"M6M","M6M",42148.00
"M6N","M6N",40252.00
"M6P","M6P",39870.00
"M6R","M6R",19349.00
"M6S","M6S",34029.00
"M7A","M7A",5.00
"M8V","M8V",44144.00
"M8W","M8W",22381.00
"M8X","M8X",10624.00
"M8Y","M8Y",21986.00
"M8Z","M8Z",19312.00
"M9A","M9A",36642.00
"M9B","M9B",33236.00
"M9C","M9C",38725.00
"M9L","M9L",11737.00
"M9M","M9M",24245.00
"M9N","M9N",26059.00
"M9P","M9P",20645.00
"M9R","M9R",33783.00
"M9V","M9V",53878.00
"M9W","M9W",40977.00
"N0A","N0A",31957.00
"N0B","N0B",86919.00
"N0C","N0C",17537.00
"N0E","N0E",36557.00
"N0G","N0G",86935.00
"N0H","N0H",53674.00
"N0J","N0J",33457.00
"N0K","N0K",24817.00
"N0L","N0L",49817.00
"N0M","N0M",69177.00
"N0N","N0N",42297.00
"N0P","N0P",53140.00
"N0R","N0R",50203.00
"N1A","N1A",12614.00
"N1C","N1C",3678.00
"N1E","N1E",44799.00
"N1G","N1G",29688.00
"N1H","N1H",42178.00
"N1K","N1K",10908.00
"N1L","N1L",17474.00
"N1M","N1M",18498.00
"N1P","N1P",7991.00
"N1R","N1R",42928.00
"N1S","N1S",20171.00
"N1T","N1T",18513.00
"N2A","N2A",32454.00
"N2B","N2B",16939.00
"N2C","N2C",17681.00
"N2E","N2E",40428.00
"N2G","N2G",14580.00
"N2H","N2H",22456.00
"N2J","N2J",20899.00
"N2K","N2K",29381.00
"N2L","N2L",37953.00
"N2M","N2M",36494.00
"N2N","N2N",26596.00
"N2P","N2P",25040.00
"N2R","N2R",18445.00
"N2T","N2T",20634.00
"N2V","N2V",19428.00
"N2Z","N2Z",12341.00
"N3A","N3A",17045.00
"N3B","N3B",13190.00
"N3C","N3C",27518.00
"N3E","N3E",2802.00
"N3H","N3H",24306.00
"N3L","N3L",17676.00
"N3P","N3P",8542.00
"N3R","N3R",35858.00
"N3S","N3S",27527.00
"N3T","N3T",37406.00
"N3V","N3V",1562.00
"N3W","N3W",15805.00
"N3Y","N3Y",23402.00
"N4B","N4B",8223.00
"N4G","N4G",21519.00
"N4K","N4K",28975.00
"N4L","N4L",8337.00
"N4N","N4N",10341.00
"N4S","N4S",33055.00
"N4T","N4T",15161.00
"N4V","N4V",3477.00
"N4W","N4W",13311.00
"N4X","N4X",9946.00
"N4Z","N4Z",2362.00
"N5A","N5A",32898.00
"N5C","N5C",15721.00
"N5H","N5H",15625.00
"N5L","N5L",3714.00
"N5P","N5P",21081.00
"N5R","N5R",30680.00
"N5V","N5V",32961.00
"N5W","N5W",24740.00
"N5X","N5X",36963.00
"N5Y","N5Y",35934.00
"N5Z","N5Z",24067.00
"N6A","N6A",13810.00
"N6B","N6B",11101.00
"N6C","N6C",30629.00
"N6E","N6E",28140.00
"N6G","N6G",50940.00
"N6H","N6H",44215.00
"N6J","N6J",27497.00
"N6K","N6K",37596.00
"N6L","N6L",5167.00
"N6M","N6M",8542.00
"N6N","N6N",728.00
"N6P","N6P",10943.00
"N7A","N7A",12495.00
"N7G","N7G",19921.00
"N7L","N7L",25127.00
"N7M","N7M",25579.00
"N7S","N7S",28410.00
"N7T","N7T",26033.00
"N7V","N7V",11611.00
"N7W","N7W",2578.00
"N7X","N7X",1129.00
"N8A","N8A",12624.00
"N8H","N8H",27530.00
"N8M","N8M",11819.00
"N8N","N8N",24534.00
"N8P","N8P",14603.00
"N8R","N8R",12733.00
"N8S","N8S",22354.00
"N8T","N8T",17935.00
"N8W","N8W",24057.00
"N8X","N8X",16457.00
"N8Y","N8Y",19254.00
"N9A","N9A",26107.00
"N9B","N9B",19613.00
"N9C","N9C",12538.00
"N9E","N9E",21465.00
"N9G","N9G",20712.00
"N9H","N9H",13173.00
"N9J","N9J",20089.00
"N9K","N9K",2757.00
"N9V","N9V",21688.00
"N9Y","N9Y",15836.00
"P0A","P0A",17822.00
"P0B","P0B",9589.00
"P0C","P0C",4824.00
"P0E","P0E",3606.00
"P0G","P0G",3553.00
"P0H","P0H",31909.00
"P0J","P0J",20179.00
"P0K","P0K",11456.00
"P0L","P0L",22859.00
"P0M","P0M",49727.00
"P0N","P0N",9435.00
"P0P","P0P",20285.00
"P0R","P0R",12976.00
"P0S","P0S",10170.00
"P0T","P0T",32000.00
"P0V","P0V",22944.00
"P0W","P0W",6454.00
"P0X","P0X",8410.00
"P0Y","P0Y",96.00
"P1A","P1A",16959.00
"P1B","P1B",33113.00
"P1C","P1C",3371.00
"P1H","P1H",18099.00
"P1L","P1L",17984.00
"P1P","P1P",11083.00
"P2A","P2A",14695.00
"P2B","P2B",9754.00
"P2N","P2N",6944.00
"P3A","P3A",24326.00
"P3B","P3B",16434.00
"P3C","P3C",17596.00
"P3E","P3E",29132.00
"P3G","P3G",4167.00
"P3L","P3L",7996.00
"P3N","P3N",7980.00
"P3P","P3P",15408.00
"P3Y","P3Y",7757.00
"P4N","P4N",24098.00
"P4P","P4P",3232.00
"P4R","P4R",4795.00
"P5A","P5A",11372.00
"P5E","P5E",5427.00
"P5N","P5N",8260.00
"P6A","P6A",33800.00
"P6B","P6B",22754.00
"P6C","P6C",18766.00
"P7A","P7A",28587.00
"P7B","P7B",22675.00
"P7C","P7C",21695.00
"P7E","P7E",20897.00
"P7G","P7G",13238.00
"P7J","P7J",4859.00
"P7K","P7K",6801.00
"P7L","P7L",2188.00
"P8N","P8N",9619.00
"P8T","P8T",5541.00
"P9A","P9A",10079.00
"P9N","P9N",14088.00
"R0A","R0A",43242.00
"R0B","R0B",42205.00
"R0C","R0C",56940.00
"R0E","R0E",39578.00
"R0G","R0G",43710.00
"R0H","R0H",17902.00
"R0J","R0J",29050.00
"R0K","R0K",28076.00
"R0L","R0L",26272.00
"R0M","R0M",19451.00
"R1A","R1A",21473.00
"R1B","R1B",280.00
"R1C","R1C",3937.00
"R1N","R1N",16641.00
"R2C","R2C",32816.00
"R2E","R2E",9511.00
"R2G","R2G",33874.00
"R2H","R2H",16136.00
"R2J","R2J",26960.00
"R2K","R2K",34345.00
"R2L","R2L",15255.00
"R2M","R2M",38978.00
"R2N","R2N",31384.00
"R2P","R2P",35218.00
"R2R","R2R",25599.00
"R2V","R2V",38204.00
"R2W","R2W",29483.00
"R2X","R2X",19674.00
"R2Y","R2Y",19849.00
"R3A","R3A",5156.00
"R3B","R3B",12545.00
"R3C","R3C",16798.00
"R3E","R3E",19009.00
"R3G","R3G",25200.00
"R3H","R3H",116.00
"R3J","R3J",28343.00
"R3K","R3K",12431.00
"R3L","R3L",20725.00
"R3M","R3M",22203.00
"R3N","R3N",16591.00
"R3P","R3P",20616.00
"R3R","R3R",25743.00
"R3S","R3S",603.00
"R3T","R3T",50190.00
"R3V","R3V",6416.00
"R3W","R3W",16173.00
"R3X","R3X",22304.00
"R3Y","R3Y",33116.00
"R4A","R4A",5471.00
"R4G","R4G",1658.00
"R4H","R4H",3282.00
"R4J","R4J",1049.00
"R4K","R4K",960.00
"R4L","R4L",1350.00
"R5A","R5A",3854.00
"R5G","R5G",25086.00
"R5H","R5H",5033.00
"R5J","R5J",1431.00
"R5K","R5K",6071.00
"R5L","R5L",2251.00
"R5M","R5M",2296.00
"R5N","R5N",5593.00
"R5P","R5P",738.00
"R5R","R5R",1310.00
"R5T","R5T",865.00
"R6M","R6M",11444.00
"R6W","R6W",21551.00
"R7A","R7A",30022.00
"R7B","R7B",22321.00
"R7C","R7C",2870.00
"R7N","R7N",9956.00
"R8A","R8A",5294.00
"R8N","R8N",13294.00
"R9A","R9A",6782.00
"S0A","S0A",52751.00
"S0C","S0C",21738.00
"S0E","S0E",32382.00
"S0G","S0G",65896.00
"S0H","S0H",21972.00
"S0J","S0J",50642.00
"S0K","S0K",90185.00
"S0L","S0L",30490.00
"S0M","S0M",48250.00
"S0N","S0N",21369.00
"S0P","S0P",6464.00
"S2V","S2V",863.00
"S3N","S3N",18635.00
"S4A","S4A",11958.00
"S4H","S4H",11807.00
"S4K","S4K",81.00
"S4L","S4L",5643.00
"S4N","S4N",30983.00
"S4P","S4P",13501.00
"S4R","S4R",34399.00
"S4S","S4S",34562.00
"S4T","S4T",31061.00
"S4V","S4V",33781.00
"S4W","S4W",14378.00
"S4X","S4X",29118.00
"S4Y","S4Y",5669.00
"S4Z","S4Z",1340.00
"S6H","S6H",27554.00
"S6J","S6J",5847.00
"S6K","S6K",1337.00
"S6V","S6V",42147.00
"S6W","S6W",288.00
"S6X","S6X",2521.00
"S7A","S7A",176.00
"S7B","S7B",497.00
"S7C","S7C",1137.00
"S7H","S7H",36818.00
"S7J","S7J",30833.00
"S7K","S7K",39076.00
"S7L","S7L",41123.00
"S7M","S7M",31870.00
"S7N","S7N",27385.00
"S7P","S7P",178.00
"S7R","S7R",8990.00
"S7S","S7S",5730.00
"S7T","S7T",17468.00
"S7V","S7V",16575.00
"S7W","S7W",19204.00
"S9A","S9A",14926.00
"S9H","S9H",18545.00
"S9V","S9V",14463.00
"S9X","S9X",7899.00
"T0A","T0A",57940.00
"T0B","T0B",63070.00
"T0C","T0C",62815.00
"T0E","T0E",40343.00
"T0G","T0G",40682.00
"T0H","T0H",81424.00
"T0J","T0J",50752.00
"T0K","T0K",59088.00
"T0L","T0L",52040.00
"T0M","T0M",66367.00
"T0P","T0P",3085.00
"T1A","T1A",24982.00
"T1B","T1B",32996.00
"T1C","T1C",9405.00
"T1G","T1G",11028.00
"T1H","T1H",27814.00
"T1J","T1J",26220.00
"T1K","T1K",47253.00
"T1L","T1L",7360.00
"T1M","T1M",10056.00
"T1P","T1P",17037.00
"T1R","T1R",17161.00
"T1S","T1S",43512.00
"T1V","T1V",15703.00
"T1W","T1W",17063.00
"T1X","T1X",25295.00
"T1Y","T1Y",52860.00
"T1Z","T1Z",2709.00
"T2A","T2A",57761.00
"T2B","T2B",22530.00
"T2C","T2C",19865.00
"T2E","T2E",36342.00
"T2G","T2G",16594.00
"T2H","T2H",9223.00
"T2J","T2J",41906.00
"T2K","T2K",34673.00
"T2L","T2L",14353.00
"T2M","T2M",20475.00
"T2N","T2N",25807.00
"T2P","T2P",14347.00
"T2R","T2R",17743.00
"T2S","T2S",14781.00
"T2T","T2T",30791.00
"T2V","T2V",32631.00
"T2W","T2W",39827.00
"T2X","T2X",54683.00
"T2Y","T2Y",60196.00
"T2Z","T2Z",69025.00
"T3A","T3A",51236.00
"T3B","T3B",38129.00
"T3C","T3C",24145.00
"T3E","T3E",42336.00
"T3G","T3G",57196.00
"T3H","T3H",72004.00
"T3J","T3J",78834.00
"T3K","T3K",79143.00
"T3L","T3L",30024.00
"T3M","T3M",56701.00
"T3N","T3N",33539.00
"T3P","T3P",27666.00
"T3R","T3R",34957.00
"T3S","T3S",288.00
"T3Z","T3Z",10596.00
"T4A","T4A",19940.00
"T4B","T4B",58053.00
"T4C","T4C",37325.00
"T4E","T4E",5229.00
"T4G","T4G",13368.00
"T4H","T4H",11831.00
"T4J","T4J",11390.00
"T4L","T4L",17145.00
"T4M","T4M",7754.00
"T4N","T4N",30584.00
"T4P","T4P",33759.00
"T4R","T4R",37024.00
"T4S","T4S",20586.00
"T4T","T4T",13296.00
"T4V","T4V",20160.00
"T4X","T4X",26447.00
"T5A","T5A",34427.00
"T5B","T5B",15373.00
"T5C","T5C",15937.00
"T5E","T5E",33607.00
"T5G","T5G",12873.00
"T5H","T5H",25367.00
"T5J","T5J",6288.00
"T5K","T5K",22440.00
"T5L","T5L",16755.00
"T5M","T5M",15462.00
"T5N","T5N",14713.00
"T5P","T5P",20475.00
"T5R","T5R",24643.00
"T5S","T5S",7731.00
"T5T","T5T",77839.00
"T5V","T5V",146.00
"T5W","T5W",20047.00
"T5X","T5X",42643.00
"T5Y","T5Y",54437.00
"T5Z","T5Z",34199.00
"T6A","T6A",14477.00
"T6B","T6B",9291.00
"T6C","T6C",20242.00
"T6E","T6E",22893.00
"T6G","T6G",11502.00
"T6H","T6H",27878.00
"T6J","T6J",45386.00
"T6K","T6K",28047.00
"T6L","T6L",49215.00
"T6M","T6M",33889.00
"T6N","T6N",28.00
"T6P","T6P",1806.00
"T6R","T6R",45153.00
"T6S","T6S",23.00
"T6T","T6T",48823.00
"T6V","T6V",23107.00
"T6W","T6W",83496.00
"T6X","T6X",50392.00
"T6Y","T6Y",232.00
"T7A","T7A",11412.00
"T7E","T7E",13720.00
"T7N","T7N",7176.00
"T7P","T7P",7183.00
"T7S","T7S",11873.00
"T7V","T7V",10315.00
"T7X","T7X",47506.00
"T7Y","T7Y",17057.00
"T7Z","T7Z",18929.00
"T8A","T8A",42146.00
"T8B","T8B",7075.00
"T8C","T8C",4406.00
"T8E","T8E",8247.00
"T8G","T8G",4784.00
"T8H","T8H",31062.00
"T8L","T8L",29258.00
"T8N","T8N",68213.00
"T8R","T8R",15960.00
"T8S","T8S",7930.00
"T8T","T8T",7283.00
"T8V","T8V",31632.00
"T8W","T8W",21556.00
"T8X","T8X",24187.00
"T9A","T9A",15093.00
"T9C","T9C",6656.00
"T9E","T9E",34385.00
"T9G","T9G",6969.00
"T9H","T9H",26075.00
"T9J","T9J",3776.00
"T9K","T9K",40909.00
"T9M","T9M",18238.00
"T9N","T9N",9439.00
"T9S","T9S",6360.00
"T9V","T9V",20751.00
"T9W","T9W",8091.00
"T9X","T9X",5403.00
"V0A","V0A",16077.00
"V0B","V0B",36123.00
"V0C","V0C",26463.00
"V0E","V0E",72013.00
"V0G","V0G",26940.00
"V0H","V0H",58479.00
"V0J","V0J",51918.00
"V0K","V0K",33615.00
"V0L","V0L",4849.00
"V0M","V0M",12420.00
"V0N","V0N",71423.00
"V0P","V0P",7335.00
"V0R","V0R",72310.00
"V0S","V0S",366.00
"V0T","V0T",9032.00
"V0V","V0V",1894.00
"V0W","V0W",503.00
"V0X","V0X",22683.00
"V1A","V1A",9024.00
"V1B","V1B",23425.00
"V1C","V1C",26195.00
"V1E","V1E",21397.00
"V1G","V1G",15116.00
"V1H","V1H",14999.00
"V1J","V1J",24491.00
"V1K","V1K",9352.00
"V1L","V1L",17641.00
"V1M","V1M",31417.00
"V1N","V1N",13357.00
"V1P","V1P",9656.00
"V1R","V1R",10295.00
"V1S","V1S",13262.00
"V1T","V1T",30436.00
"V1V","V1V",26732.00
"V1W","V1W",38374.00
"V1X","V1X",35151.00
"V1Y","V1Y",39050.00
"V1Z","V1Z",16552.00
"V2A","V2A",40489.00
"V2B","V2B",41642.00
"V2C","V2C",27038.00
"V2E","V2E",15962.00
"V2G","V2G",18200.00
"V2H","V2H",7060.00
"V2J","V2J",22680.00
"V2K","V2K",21556.00
"V2L","V2L",10101.00
"V2M","V2M",23763.00
"V2N","V2N",33870.00
"V2P","V2P",39075.00
"V2R","V2R",55505.00
"V2S","V2S",52492.00
"V2T","V2T",60078.00
"V2V","V2V",36155.00
"V2W","V2W",23673.00
"V2X","V2X",50279.00
"V2Y","V2Y",46971.00
"V2Z","V2Z",16209.00
"V3A","V3A",46299.00
"V3B","V3B",61396.00
"V3C","V3C",39448.00
"V3E","V3E",42030.00
"V3G","V3G",26939.00
"V3H","V3H",37339.00
"V3J","V3J",44558.00
"V3K","V3K",31181.00
"V3L","V3L",30988.00
"V3M","V3M",47927.00
"V3N","V3N",41405.00
"V3R","V3R",61436.00
"V3S","V3S",104997.00
"V3T","V3T",45514.00
"V3V","V3V",50873.00
"V3W","V3W",95970.00
"V3X","V3X",33054.00
"V3Y","V3Y",19414.00
"V3Z","V3Z",38837.00
"V4A","V4A",38036.00
"V4B","V4B",21828.00
"V4C","V4C",48434.00
"V4E","V4E",12280.00
"V4G","V4G",72.00
"V4K","V4K",25193.00
"V4L","V4L",7874.00
"V4M","V4M",16805.00
"V4N","V4N",86011.00
"V4P","V4P",13950.00
"V4R","V4R",17038.00
"V4S","V4S",7922.00
"V4T","V4T",31700.00
"V4V","V4V",17726.00
"V4W","V4W",21246.00
"V4X","V4X",14365.00
"V4Z","V4Z",5777.00
"V5A","V5A",25403.00
"V5B","V5B",22577.00
"V5C","V5C",37684.00
"V5E","V5E",26843.00
"V5G","V5G",20137.00
"V5H","V5H",41948.00
"V5J","V5J",23190.00
"V5K","V5K",23431.00
"V5L","V5L",19473.00
"V5M","V5M",23412.00
"V5N","V5N",35843.00
"V5P","V5P",31624.00
"V5R","V5R",48150.00
"V5S","V5S",32940.00
"V5T","V5T",26340.00
"V5V","V5V",24288.00
"V5W","V5W",20828.00
"V5X","V5X",31095.00
"V5Y","V5Y",19032.00
"V5Z","V5Z",24957.00
"V6A","V6A",21062.00
"V6B","V6B",32375.00
"V6C","V6C",2846.00
"V6E","V6E",27482.00
"V6G","V6G",28013.00
"V6H","V6H",17742.00
"V6J","V6J",23044.00
"V6K","V6K",27146.00
"V6L","V6L",10563.00
"V6M","V6M",16421.00
"V6N","V6N",14258.00
"V6P","V6P",33079.00
"V6R","V6R",19170.00
"V6S","V6S",15711.00
"V6T","V6T",12048.00
"V6V","V6V",11096.00
"V6W","V6W",2439.00
"V6X","V6X",41321.00
"V6Y","V6Y",49221.00
"V6Z","V6Z",20683.00
"V7A","V7A",26533.00
"V7B","V7B",820.00
"V7C","V7C",40708.00
"V7E","V7E",37803.00
"V7G","V7G",11851.00
"V7H","V7H",12430.00
"V7J","V7J",17865.00
"V7K","V7K",12586.00
"V7L","V7L",29248.00
"V7M","V7M",23086.00
"V7N","V7N",15150.00
"V7P","V7P",13710.00
"V7R","V7R",15585.00
"V7S","V7S",11141.00
"V7T","V7T",9891.00
"V7V","V7V",15241.00
"V7W","V7W",8698.00
"V7Z","V7Z",203.00
"V8A","V8A",19133.00
"V8B","V8B",17677.00
"V8C","V8C",8236.00
"V8E","V8E",13788.00
"V8G","V8G",19606.00
"V8J","V8J",12344.00
"V8K","V8K",11635.00
"V8L","V8L",25107.00
"V8M","V8M",16687.00
"V8N","V8N",26049.00
"V8P","V8P",18418.00
"V8R","V8R",24074.00
"V8S","V8S",17294.00
"V8T","V8T",21343.00
"V8V","V8V",28430.00
"V8W","V8W",6459.00
"V8X","V8X",24227.00
"V8Y","V8Y",10134.00
"V8Z","V8Z",32137.00
"V9A","V9A",39759.00
"V9B","V9B",53952.00
"V9C","V9C",27886.00
"V9E","V9E",5341.00
"V9G","V9G",15885.00
"V9H","V9H",10137.00
"V9J","V9J",9385.00
"V9K","V9K",16688.00
"V9L","V9L",36520.00
"V9M","V9M",18470.00
"V9N","V9N",32956.00
"V9P","V9P",27708.00
"V9R","V9R",31992.00
"V9S","V9S",17977.00
"V9T","V9T",36952.00
"V9V","V9V",11300.00
"V9W","V9W",30783.00
"V9X","V9X",11345.00
"V9Y","V9Y",26445.00
"V9Z","V9Z",20131.00
"X0A","X0A",19355.00
"X0B","X0B",6476.00
"X0C","X0C",11027.00
"X0E","X0E",19798.00
"X0G","X0G",468.00
"X1A","X1A",20804.00
"Y0A","Y0A",1657.00
"Y0B","Y0B",7481.00
"Y1A","Y1A",31094.00
